OrderID,OrderDate,SKU,Category,RegionCode,Channel,Segment,SalesRep,Quantity,UnitPrice,Discount,NetRevenue,COGS,OrderStatus
ORD-103405,2023-01-15,SKU-1060,Peripherals,LATAM,Partner,SMB,Nadia Kowalski,4,299.52,0.05,1138.18,678.6,Returned
ORD-104254,2023-01-15,SKU-1090,Storage,NA-W,Direct,Consumer,Ada Zimmerman,5,853.08,0.25,3199.05,2816.7,Shipped
ORD-104904,2023-01-15,SKU-1097,Storage,UKI,Retail,SMB,Emeka Lindqvist,1,176.34,0.05,167.52,133.35,Pending
ORD-100319,2023-01-16,SKU-1060,Peripherals,NA-E,Direct,SMB,Elena Kaur,11,299.52,0.2,2635.78,1866.15,Shipped
ORD-100547,2023-01-16,SKU-1031,Monitors,DACH,Partner,Enterprise,Uma Sandoval,1,953.0,0.25,714.75,667.83,Shipped
ORD-100952,2023-01-16,SKU-1119,Accessories,DACH,Retail,Enterprise,Rosa Marchetti,7,84.73,0.1,533.8,290.92,Pending
ORD-101469,2023-01-16,SKU-1045,Peripherals,NA-E,Direct,SMB,Elena Okafor,4,388.64,0,1554.56,835.16,Shipped
ORD-102102,2023-01-16,SKU-1017,Laptops,LATAM,Retail,Enterprise,Fatima Iversen,1,3083.45,0.25,2312.59,2180.49,Shipped
ORD-102695,2023-01-16,SKU-1024,Monitors,NA-E,Online,Enterprise,Fatima Dahl,1,340.87,0,340.87,221.59,Returned
ORD-103451,2023-01-16,SKU-1058,Peripherals,APAC-S,Direct,SMB,Ivan Kaur,1,410.18,0.15,348.65,221.87,Shipped
ORD-104668,2023-01-16,SKU-1120,Accessories,APAC-N,Retail,Enterprise,Elena Laurent,4,210.18,0.2,672.58,344.68,Shipped
ORD-104715,2023-01-16,SKU-1078,Networking,NA-E,Online,Enterprise,Elena Okafor,1,981.51,0,981.51,583.05,Returned
ORD-100272,2023-01-17,SKU-1058,Peripherals,NA-W,Online,Consumer,Yara Eriksen,3,410.18,0.2,984.43,665.61,Shipped
ORD-101960,2023-01-17,SKU-1107,Accessories,DACH,Partner,Enterprise,Amara Dahl,3,92.86,0,278.58,113.16,Shipped
ORD-104311,2023-01-17,SKU-1055,Peripherals,NORDIC,Direct,Enterprise,Zara Fontaine,3,77.77,0.1,209.98,117.54,Returned
ORD-102483,2023-01-18,SKU-1081,Storage,NA-W,Direct,Enterprise,Adaeze Marchetti,1,427.43,0,427.43,295.78,Shipped
ORD-103471,2023-01-18,SKU-1097,Storage,NA-W,Retail,Mid-Market,Viktor Zhang,1,176.34,0.25,132.25,133.35,Returned
ORD-103497,2023-01-18,SKU-1013,Laptops,NORDIC,Direct,Mid-Market,Malik Kowalski,7,2073.19,0.2,11609.86,9734.55,Shipped
ORD-103961,2023-01-18,SKU-1006,Laptops,APAC-N,Partner,SMB,Bao Alvarez,4,2229.97,0,8919.88,5935.32,Shipped
ORD-104736,2023-01-18,SKU-1054,Peripherals,NA-W,Direct,Mid-Market,Elena Kaur,2,210.36,0,420.72,209.18,Shipped
ORD-104950,2023-01-18,SKU-1028,Monitors,DACH,Direct,SMB,Ada Singh,4,1296.45,0.1,4667.22,3346.28,Returned
ORD-103019,2023-01-19,SKU-1119,Accessories,UKI,Partner,Consumer,Bao Alvarez,5,84.73,0.05,402.47,207.8,Shipped
ORD-103469,2023-01-19,SKU-1014,Laptops,APAC-N,Direct,Mid-Market,Nikolai Jensen,11,1949.83,0.05,20375.72,14536.61,Shipped
ORD-101952,2023-01-20,SKU-1092,Storage,NA-W,Partner,Mid-Market,Malik Kowalski,2,227.16,0,454.32,321.3,Pending
ORD-102321,2023-01-20,SKU-1028,Monitors,UKI,Direct,SMB,Viktor Zhang,1,1296.45,0.05,1231.63,836.57,Shipped
ORD-102544,2023-01-20,SKU-1114,Accessories,APAC-N,Online,SMB,Kwame Abara,5,150.14,0,750.7,362.35,Shipped
ORD-104048,2023-01-21,SKU-1016,Laptops,NA-E,Online,SMB,Rania Kaur,6,3292.27,0.05,18765.94,13368.24,Returned
ORD-100873,2023-01-22,SKU-1094,Storage,NORDIC,Online,Consumer,Elena Kaur,1,321.11,0,321.11,224.89,Shipped
ORD-100877,2023-01-22,SKU-1068,Networking,NA-W,Direct,SMB,Zara Fontaine,4,782.54,0.15,2660.64,1853.0,Shipped
ORD-100887,2023-01-22,SKU-1114,Accessories,NORDIC,Direct,Consumer,Ivan Kaur,2,150.14,0.2,240.22,144.94,Returned
ORD-101013,2023-01-22,SKU-1004,Laptops,NA-W,Direct,SMB,Ada Zimmerman,1,3198.86,0,3198.86,2219.09,Shipped
ORD-103551,2023-01-22,SKU-1115,Accessories,NA-E,Partner,SMB,Thea Delgado,4,201.56,0.05,765.93,383.44,Shipped
ORD-101068,2023-01-23,SKU-1098,Storage,UKI,Online,Consumer,Sana Lindqvist,3,587.94,0,1763.82,1221.51,Returned
ORD-101612,2023-01-23,SKU-1043,Peripherals,NA-E,Direct,SMB,Rania Kaur,10,212.9,0.2,1703.2,1131.5,Shipped
ORD-101910,2023-01-23,SKU-1078,Networking,NA-E,Direct,SMB,Uma Okafor,15,981.51,0.25,11041.99,8745.75,Shipped
ORD-102742,2023-01-23,SKU-1100,Storage,APAC-N,Online,SMB,Fatima Iversen,4,754.71,0.25,2264.13,1999.44,Shipped
ORD-103179,2023-01-23,SKU-1063,Networking,NA-E,Partner,Mid-Market,Nadia Kowalski,1,935.12,0.2,748.1,601.78,Shipped
ORD-103344,2023-01-23,SKU-1024,Monitors,NA-W,Online,Enterprise,Bao Alvarez,6,340.87,0.1,1840.7,1329.54,Returned
ORD-103512,2023-01-23,SKU-1037,Monitors,DACH,Direct,SMB,Bruno Zhang,6,1230.78,0.1,6646.21,4696.14,Returned
ORD-103843,2023-01-23,SKU-1089,Storage,NORDIC,Direct,Mid-Market,Yusuf Mbeki,3,512.43,0.05,1460.43,1019.1,Returned
ORD-104334,2023-01-23,SKU-1090,Storage,NA-E,Direct,Consumer,Elena Laurent,1,853.08,0.25,639.81,563.34,Shipped
ORD-104388,2023-01-23,SKU-1074,Networking,NA-E,Online,Mid-Market,Fatima Bennett,1,192.25,0.1,173.03,120.87,Returned
ORD-104689,2023-01-23,SKU-1076,Networking,DACH,Direct,Enterprise,Bruno Zhang,5,1719.15,0,8595.75,5146.4,Pending
ORD-101735,2023-01-24,SKU-1011,Laptops,NA-E,Partner,SMB,Fatima Bennett,3,2304.08,0,6912.24,4467.9,Shipped
ORD-103278,2023-01-24,SKU-1044,Peripherals,NA-W,Direct,SMB,Uma Sandoval,1,42.05,0.25,31.54,21.28,Shipped
ORD-103782,2023-01-24,SKU-1015,Laptops,APAC-S,Online,Enterprise,Rosa Marchetti,4,1315.81,0,5263.24,3698.76,Shipped
ORD-104018,2023-01-24,SKU-1046,Peripherals,APAC-N,Direct,Mid-Market,Zara Fontaine,2,291.02,0,582.04,298.58,Shipped
ORD-104355,2023-01-24,SKU-1038,Monitors,NORDIC,Online,Mid-Market,Fatima Bennett,2,829.48,0.15,1410.12,1108.66,Shipped
ORD-104437,2023-01-24,SKU-1015,Laptops,UKI,Online,Consumer,Yusuf Fontaine,2,1315.81,0,2631.62,1849.38,Shipped
ORD-100065,2023-01-25,SKU-1085,Storage,NA-E,Online,SMB,Nadia Kowalski,1,163.55,0,163.55,123.38,Shipped
ORD-101596,2023-01-25,SKU-1075,Networking,LATAM,Direct,Consumer,Bao Alvarez,1,1273.44,0.25,955.08,736.87,Returned
ORD-102599,2023-01-25,SKU-1062,Networking,NA-E,Direct,Enterprise,Emeka Lindqvist,1,864.38,0,864.38,541.69,Returned
ORD-102649,2023-01-25,SKU-1031,Monitors,UKI,Online,SMB,Darius Kaur,1,953.0,0.25,714.75,667.83,Shipped
ORD-104525,2023-01-25,SKU-1088,Storage,NA-W,Online,Enterprise,Thea Delgado,2,601.62,0,1203.24,867.86,Pending
ORD-102489,2023-01-26,SKU-1114,Accessories,NA-W,Online,Mid-Market,Ada Singh,1,150.14,0.2,120.11,72.47,Pending
ORD-103444,2023-01-26,SKU-1019,Laptops,NA-E,Online,Mid-Market,Thea Zhang,1,1704.93,0.1,1534.44,1175.47,Pending
ORD-104414,2023-01-26,SKU-1089,Storage,NA-W,Partner,Enterprise,Malik Kowalski,2,512.43,0.1,922.37,679.4,Shipped
ORD-104529,2023-01-26,SKU-1067,Networking,APAC-N,Direct,SMB,Malik Kowalski,1,254.78,0.25,191.09,153.76,Shipped
ORD-104754,2023-01-26,SKU-1018,Laptops,UKI,Online,Consumer,Nikolai Jensen,5,2719.05,0.05,12915.49,8869.85,Pending
ORD-100524,2023-01-27,SKU-1090,Storage,NA-E,Partner,Consumer,Fatima Iversen,1,853.08,0,853.08,563.34,Shipped
ORD-100616,2023-01-27,SKU-1118,Accessories,NA-E,Retail,SMB,Thea Zhang,2,143.1,0,286.2,115.28,Returned
ORD-101409,2023-01-27,SKU-1009,Laptops,NA-E,Partner,SMB,Kwame Abara,1,3341.5,0,3341.5,2318.58,Shipped
ORD-104121,2023-01-27,SKU-1032,Monitors,UKI,Direct,Consumer,Zara Sorensen,8,929.07,0.05,7060.93,4683.92,Shipped
ORD-100084,2023-01-28,SKU-1060,Peripherals,APAC-N,Online,Mid-Market,Ivan Kaur,4,299.52,0.05,1138.18,678.6,Returned
ORD-101319,2023-01-28,SKU-1024,Monitors,UKI,Direct,Mid-Market,Bruno Zhang,13,340.87,0.25,3323.48,2880.67,Shipped
ORD-102629,2023-01-28,SKU-1043,Peripherals,NA-W,Online,SMB,Fatima Iversen,1,212.9,0.2,170.32,113.15,Shipped
ORD-103639,2023-01-28,SKU-1083,Storage,LATAM,Direct,SMB,Rosa Weber,4,132.45,0.1,476.82,356.84,Returned
ORD-104047,2023-01-28,SKU-1080,Networking,APAC-N,Online,SMB,Amara Dahl,1,788.65,0.1,709.78,516.63,Shipped
ORD-104222,2023-01-28,SKU-1045,Peripherals,APAC-S,Direct,Mid-Market,Paulo Carvalho,4,388.64,0,1554.56,835.16,Pending
ORD-104682,2023-01-28,SKU-1064,Networking,APAC-N,Partner,SMB,Zara Fontaine,1,2008.03,0.15,1706.83,1218.2,Returned
ORD-102193,2023-01-29,SKU-1074,Networking,NA-W,Partner,Consumer,Malik Andersen,3,192.25,0,576.75,362.61,Pending
ORD-103436,2023-01-29,SKU-1074,Networking,LATAM,Direct,Enterprise,Elena Laurent,2,192.25,0,384.5,241.74,Returned
ORD-104788,2023-01-29,SKU-1066,Networking,LATAM,Direct,Mid-Market,Thea Delgado,7,491.43,0.1,3096.01,2013.83,Returned
ORD-101218,2023-01-30,SKU-1056,Peripherals,APAC-N,Online,Consumer,Ada Vargas,2,45.14,0,90.28,45.24,Returned
ORD-101397,2023-01-30,SKU-1105,Accessories,APAC-S,Partner,SMB,Wei Tanaka,2,139.86,0.2,223.78,121.94,Shipped
ORD-102300,2023-01-30,SKU-1066,Networking,LATAM,Partner,Mid-Market,Elena Okafor,3,491.43,0.05,1400.58,863.07,Pending
ORD-104028,2023-01-30,SKU-1113,Accessories,NA-E,Direct,Enterprise,Malik Eriksen,3,23.87,0,71.61,31.35,Shipped
ORD-104454,2023-01-30,SKU-1051,Peripherals,UKI,Partner,Consumer,Thea Ibrahim,1,311.03,0.05,295.48,178.18,Shipped
ORD-101090,2023-01-31,SKU-1071,Networking,NA-E,Partner,Enterprise,Malik Eriksen,3,827.39,0.2,1985.74,1586.13,Shipped
ORD-104124,2023-01-31,SKU-1106,Accessories,NA-W,Partner,Mid-Market,Wei Tanaka,4,179.48,0.2,574.34,325.48,Shipped
ORD-104282,2023-01-31,SKU-1111,Accessories,APAC-N,Online,Mid-Market,Uma Okafor,3,118.52,0,355.56,152.01,Shipped
ORD-101164,2023-02-01,SKU-1086,Storage,UKI,Online,Mid-Market,Yusuf Fontaine,11,1066.03,0,11726.33,7770.84,Pending
ORD-102277,2023-02-01,SKU-1062,Networking,NA-W,Partner,SMB,Malik Andersen,6,864.38,0.1,4667.65,3250.14,Shipped
ORD-102936,2023-02-01,SKU-1033,Monitors,UKI,Partner,SMB,Darius Kaur,7,617.73,0.05,4107.9,2801.75,Shipped
ORD-103167,2023-02-01,SKU-1014,Laptops,NA-E,Online,Enterprise,Uma Sandoval,1,1949.83,0.15,1657.36,1321.51,Shipped
ORD-104836,2023-02-01,SKU-1080,Networking,NA-E,Direct,SMB,Rosa Marchetti,4,788.65,0,3154.6,2066.52,Shipped
ORD-100030,2023-02-02,SKU-1059,Peripherals,APAC-N,Partner,SMB,Rania Kaur,1,294.39,0.05,279.67,144.83,Shipped
ORD-100112,2023-02-02,SKU-1087,Storage,NORDIC,Partner,Consumer,Rosa Weber,2,222.44,0,444.88,301.62,Returned
ORD-100222,2023-02-02,SKU-1085,Storage,NA-W,Partner,Enterprise,Fatima Iversen,1,163.55,0.1,147.2,123.38,Shipped
ORD-103684,2023-02-02,SKU-1030,Monitors,NA-E,Direct,Enterprise,Fatima Iversen,1,756.24,0,756.24,522.2,Shipped
ORD-100131,2023-02-03,SKU-1016,Laptops,UKI,Online,Mid-Market,Paulo Carvalho,3,3292.27,0,9876.81,6684.12,Pending
ORD-100650,2023-02-03,SKU-1085,Storage,APAC-N,Online,Enterprise,Malik Andersen,3,163.55,0,490.65,370.14,Shipped
ORD-102419,2023-02-03,SKU-1096,Storage,DACH,Online,SMB,Malik Kowalski,2,924.54,0,1849.08,1329.96,Shipped
ORD-103247,2023-02-03,SKU-1103,Accessories,UKI,Direct,SMB,Rania Eriksen,1,198.1,0.1,178.29,86.3,Returned
ORD-104062,2023-02-03,SKU-1047,Peripherals,NA-E,Partner,Mid-Market,Elena Laurent,3,240.32,0.1,648.86,379.74,Shipped
ORD-104897,2023-02-03,SKU-1057,Peripherals,NORDIC,Direct,Enterprise,Thea Zhang,1,457.5,0.15,388.88,228.53,Returned
ORD-100137,2023-02-04,SKU-1105,Accessories,NA-E,Direct,Enterprise,Uma Okafor,1,139.86,0.2,111.89,60.97,Shipped
ORD-102809,2023-02-04,SKU-1041,Peripherals,DACH,Direct,SMB,Elena Okafor,1,371.64,0,371.64,211.27,Shipped
ORD-103412,2023-02-04,SKU-1013,Laptops,NA-E,Partner,Mid-Market,Zara Fontaine,31,2073.19,0.05,61055.45,43110.15,Shipped
ORD-103433,2023-02-04,SKU-1018,Laptops,NA-E,Online,Mid-Market,Emeka Weber,2,2719.05,0,5438.1,3547.94,Shipped
ORD-100670,2023-02-05,SKU-1113,Accessories,NA-W,Online,SMB,Thea Zhang,1,23.87,0,23.87,10.45,Returned
ORD-101138,2023-02-05,SKU-1071,Networking,APAC-N,Direct,Mid-Market,Elena Okafor,6,827.39,0.05,4716.12,3172.26,Shipped
ORD-101771,2023-02-05,SKU-1028,Monitors,UKI,Online,SMB,Greta Haddad,1,1296.45,0.2,1037.16,836.57,Pending
ORD-103154,2023-02-05,SKU-1020,Laptops,APAC-N,Direct,Enterprise,Ada Vargas,3,3674.26,0.2,8818.22,7172.16,Returned
ORD-103682,2023-02-05,SKU-1079,Networking,NA-W,Direct,Enterprise,Bao Kaur,3,453.79,0.25,1021.03,860.28,Shipped
ORD-100203,2023-02-06,SKU-1035,Monitors,UKI,Direct,Mid-Market,Malik Kowalski,8,1114.67,0.25,6688.02,6104.08,Pending
ORD-100829,2023-02-06,SKU-1100,Storage,NA-E,Retail,Mid-Market,Adaeze Marchetti,4,754.71,0.05,2867.9,1999.44,Returned
ORD-101641,2023-02-06,SKU-1117,Accessories,NA-W,Online,SMB,Nadia Kowalski,3,127.94,0.05,364.63,167.49,Shipped
ORD-101643,2023-02-06,SKU-1019,Laptops,UKI,Retail,Mid-Market,Rosa Marchetti,8,1704.93,0.05,12957.47,9403.76,Shipped
ORD-102524,2023-02-06,SKU-1023,Monitors,LATAM,Partner,SMB,Ada Zimmerman,2,1366.21,0,2732.42,1797.62,Shipped
ORD-102970,2023-02-06,SKU-1080,Networking,NA-E,Online,Enterprise,Fatima Iversen,6,788.65,0.2,3785.52,3099.78,Shipped
ORD-103537,2023-02-06,SKU-1054,Peripherals,LATAM,Direct,Consumer,Ada Singh,1,210.36,0.05,199.84,104.59,Pending
ORD-103702,2023-02-06,SKU-1114,Accessories,NA-W,Partner,Enterprise,Zara Fontaine,1,150.14,0,150.14,72.47,Shipped
ORD-100610,2023-02-07,SKU-1087,Storage,NA-E,Online,Enterprise,Sana Lindqvist,2,222.44,0.25,333.66,301.62,Shipped
ORD-100964,2023-02-07,SKU-1113,Accessories,NA-E,Partner,Enterprise,Bao Alvarez,3,23.87,0,71.61,31.35,Shipped
ORD-101491,2023-02-07,SKU-1097,Storage,NA-W,Direct,Enterprise,Ivan Kaur,7,176.34,0.1,1110.94,933.45,Pending
ORD-102241,2023-02-07,SKU-1094,Storage,APAC-N,Online,Consumer,Fatima Bennett,1,321.11,0.1,289.0,224.89,Shipped
ORD-102706,2023-02-07,SKU-1012,Laptops,NA-E,Partner,Enterprise,Rania Kaur,4,3047.46,0.25,9142.38,8409.56,Shipped
ORD-102769,2023-02-07,SKU-1067,Networking,NA-W,Online,SMB,Bruno Zhang,4,254.78,0,1019.12,615.04,Shipped
ORD-102718,2023-02-08,SKU-1078,Networking,DACH,Retail,Consumer,Fatima Iversen,1,981.51,0,981.51,583.05,Pending
ORD-102968,2023-02-09,SKU-1108,Accessories,NORDIC,Direct,Mid-Market,Yara Eriksen,1,111.01,0,111.01,47.94,Shipped
ORD-104473,2023-02-09,SKU-1026,Monitors,APAC-S,Partner,Mid-Market,Thea Delgado,3,371.18,0,1113.54,762.06,Shipped
ORD-100386,2023-02-10,SKU-1035,Monitors,DACH,Online,SMB,Elena Okafor,1,1114.67,0,1114.67,763.01,Returned
ORD-100796,2023-02-10,SKU-1004,Laptops,NA-E,Direct,SMB,Chen Iversen,5,3198.86,0.2,12795.44,11095.45,Shipped
ORD-101268,2023-02-10,SKU-1076,Networking,NORDIC,Partner,SMB,Fatima Iversen,2,1719.15,0.2,2750.64,2058.56,Shipped
ORD-103129,2023-02-10,SKU-1039,Monitors,NORDIC,Direct,Consumer,Wei Tanaka,1,1201.03,0.05,1140.98,748.13,Pending
ORD-103271,2023-02-10,SKU-1111,Accessories,NA-E,Retail,SMB,Bao Kaur,10,118.52,0,1185.2,506.7,Shipped
ORD-103861,2023-02-10,SKU-1077,Networking,LATAM,Online,Mid-Market,Yara Eriksen,4,740.62,0.2,2369.98,1799.76,Shipped
ORD-104557,2023-02-10,SKU-1007,Laptops,APAC-S,Direct,Consumer,Ivan Kaur,4,1513.38,0,6053.52,4246.96,Shipped
