ContactID,FullName,Email,Phone,JoinDate,LifetimeSpend,OptedIn,Region
C0041,Adaeze  Laurent,Adaeze.Laurent29@corp.example,+1-537-426-6902,2023-11-06,n/a,Yes,UKI
C0042,Fatima Zhang,Fatima.Zhang45@corp.example,+1-736-844-4894,,272 USD,N,APAC-N
C0043,Greta Fontaine,Greta.Fontaine96@proton.me,(362) 911-9193,11/14/2022,"$36,035.68",Yes,?
C0044,Ada  Petrov,Ada.Petrov66@Outlook.COM,,10/26/2024,34488.25,Y,?
C0045,Jonas Sorensen,Jonas.Sorensen82@Outlook.COM,2287226825,07-Nov-23,"$38,251.14",N,UKI
C0046,Ivan Lindqvist ,Ivan.Lindqvist33@Outlook.COM,,11-Mar-24,10111 USD,Yes,na-e
C0047,Thea  Vogel,Thea.Vogel7@gmail.com,,2023-11-09,26039.36,,na-e
C0048,Petra Novak,Petra.Novak94@gmail.com,,,48348.37,N,na-e
C0049,  DARIUS JENSEN ,Darius.Jensen22@yahoo.co.uk,(546) 290-4176,,"$28,974.30",TRUE,?
C0050,  DANIELA TOURE ,Daniela.Toure58@gmail.com,,,34425.54,N,UKI
C0051,Daniela Toure,Daniela.Toure44@yahoo.co.uk,+1-819-704-2777,04/14/2024,34796 USD,,UKI
C0052,  IVAN ERIKSEN ,Ivan.Eriksen25@Outlook.COM,(814) 949-4572,03/01/2025,10715.55,yes,DACH
C0053,Tariq Carvalho ,Tariq.Carvalho89@gmail.com,(803) 508-5420,,19234 USD,FALSE,?
C0053X,TARIQ CARVALHO ,Tariq.Carvalho89@gmail.com,(803) 508-5420,,19234 USD,FALSE,?
C0054,Tariq Haddad ,Tariq.Haddad60@yahoo.co.uk,,2023-10-26,"$31,905.44",TRUE,DACH
C0055,  FELIX ANDERSEN ,Felix.Andersen38@corp.example,(666) 801-8327,07/18/2025,29680 USD,Yes,UKI
C0056,  INES PETROV ,Ines.Petrov18@proton.me,983.290.2657,2022-04-10,n/a,Y, NA-W
C0057,  RANIA LAURENT ,Rania.Laurent68@proton.me,,08/26/2023,"$15,954.20",N,DACH
C0058,Olga  Weber,Olga.Weber42@yahoo.co.uk,+1-878-980-9549,11/16/2022,43374.82,N,?
C0059,"Kaur, Ada",Ada.Kaur16@proton.me,,2022-05-20,n/a,TRUE,uki
C0060,Amara  Jensen,Amara.Jensen9@proton.me,,05-Aug-23,47498.18,No,UKI
C0061,  MALIK DELGADO ,Malik.Delgado60@yahoo.co.uk,699.243.2436,07/12/2025,"$22,620.07",TRUE,NA-E
C0062,Sana  Zimmerman,Sana.Zimmerman18@gmail.com,,,46971.75,FALSE,uki
C0063,Emeka Bennett ,Emeka.Bennett38@yahoo.co.uk,,,n/a,No,?
C0064,Bao Mbeki ,Bao.Mbeki43@Outlook.COM,(677) 565-2516,05/20/2022,n/a,N,?
C0065,Samir Khan ,Samir.Khan24@corp.example,755.419.2950,03/22/2024,"$37,245.35",no,DACH
C0066,Kwame Haddad,Kwame.Haddad10@gmail.com,6276153406,,48997.97,FALSE,DACH
C0067,Tomas  Yilmaz,Tomas.Yilmaz58@yahoo.co.uk,,01/08/2022,n/a,TRUE,?
C0068,Yusuf Yilmaz ,Yusuf.Yilmaz35@proton.me,4390578838,,n/a,FALSE,DACH
C0069,"Ibrahim, Rosa",Rosa.Ibrahim32@proton.me,(709) 308-5059,2024-10-26,"$7,912.40",Yes,uki
C0070,"Carvalho, Samir",Samir.Carvalho67@yahoo.co.uk,6763263629,25-Jul-24,31222.18,TRUE,?
C0071,Mei  Garcia,Mei.Garcia63@corp.example,520.292.4563,,7978 USD,Yes, NA-W
C0072,Caleb Rossi ,Caleb.Rossi72@gmail.com,327.657.6311,2024-10-19,n/a,,DACH
C0073,  SANA BAKKER ,Sana.Bakker16@proton.me,+1-918-640-2754,10/18/2023,13247 USD,Yes,uki
C0074,"Garcia, Rosa",Rosa.Garcia92@proton.me,,01/19/2025,"$16,263.71",No,NA-E
C0074,"Garcia, Rosa",Rosa.Garcia92@proton.me,,01/19/2025,"$16,263.71",No,NA-E
C0075,Hana Bakker,Hana.Bakker28@proton.me,,,"$28,317.91",Y,NA-E
C0076,"Khan, Omar",Omar.Khan71@Outlook.COM,+1-513-442-7881,09/27/2023,7790 USD,,UKI
C0077,Jonas Dahl,Jonas.Dahl4@corp.example,+1-527-976-6462,26-May-23,"$48,666.45",FALSE,NA-E
C0078,"Wang, Paulo",Paulo.Wang19@gmail.com,+1-279-364-7827,,47716.39,No,?
C0079,"Ibrahim, Viktor",Viktor.Ibrahim8@proton.me,6170678442,,"$47,731.78",yes,?
C0080,Amara  Kowalski,Amara.Kowalski47@gmail.com,,16-Apr-23,n/a,,na-e
C0081,Wei Petrov ,Wei.Petrov55@corp.example,+1-917-503-9740,2025-01-21,49978.09,Y, NA-W
C0082,Petra Kowalski,Petra.Kowalski25@corp.example,(840) 520-1340,01/29/2025,15971 USD,no,APAC-N
C0083,"Okafor, Ivan",Ivan.Okafor2@Outlook.COM,+1-235-258-8577,,26 USD,FALSE,APAC-N
C0084,  THEA HOFFMANN ,Thea.Hoffmann48@gmail.com,2365802375,20-Mar-25,"$21,611.46",Y,DACH
C0085,Yusuf Ibrahim,Yusuf.Ibrahim95@proton.me,+1-849-447-7238,29-Aug-23,"$40,141.31",,?
C0086,Elena Weber ,Elena.Weber46@gmail.com,,,n/a,TRUE,APAC-N
C0087,  LIAM NAKAMURA ,Liam.Nakamura15@gmail.com,(728) 379-4953,22-Apr-25,n/a,N,UKI
C0088,"Wang, Samir",Samir.Wang82@yahoo.co.uk,,07/23/2022,"$17,497.62",TRUE,UKI
C0089,Camila  Vogel,Camila.Vogel15@gmail.com,+1-521-577-7640,2022-04-20,28757 USD,yes,na-e
C0090,Darius Quintero ,Darius.Quintero79@yahoo.co.uk,(773) 725-8427,,n/a,FALSE,NA-E
C0091,Amara Mbeki,Amara.Mbeki39@Outlook.COM,,11/05/2022,n/a,FALSE,NA-E
C0092,  THEA NOVAK ,Thea.Novak71@yahoo.co.uk,,08/05/2024,n/a,FALSE,UKI
C0093,"Lindqvist, Lucia",Lucia.Lindqvist37@gmail.com,,23-Oct-24,32865 USD,Yes,DACH
C0094,Thea Rossi,Thea.Rossi65@corp.example,,28-May-23,n/a,No,APAC-N
C0095,Bao  Sorensen,Bao.Sorensen45@Outlook.COM,,2022-12-31,n/a,Yes,UKI
C0096,Adaeze Nakamura ,Adaeze.Nakamura75@corp.example,,,n/a,no,?
C0097,  LUCIA ZIMMERMAN ,Lucia.Zimmerman31@corp.example,983.860.3032,2022-06-28,39540 USD,no,UKI
C0098,  ELENA OKAFOR ,Elena.Okafor14@corp.example,8078174074,08/30/2022,3856.82,N, NA-W
C0099,Bao Zhang ,Bao.Zhang20@yahoo.co.uk,+1-882-395-6319,18-May-24,45553.21,Y,?
C0100,"Fontaine, Petra",Petra.Fontaine64@gmail.com,401.470.2788,10/22/2022,n/a,Yes,uki
C0101,Zoe Dahl ,Zoe.Dahl63@proton.me,,07/25/2023,22644.83,,DACH
C0102,Tomas Kaur,Tomas.Kaur48@corp.example,(780) 862-3522,,n/a,no, NA-W
C0103,"Marchetti, Ada",Ada.Marchetti20@corp.example,723.998.5971,04/23/2023,39903.80,,APAC-N
C0104,Rania Alvarez,Rania.Alvarez35@gmail.com,(269) 422-8652,01-Jan-22,"$18,975.35",FALSE,NA-E
C0105,Ravi  Wang,Ravi.Wang29@corp.example,(588) 485-6640,25-Nov-23,40300 USD,no,?
C0106,Yara Garcia,Yara.Garcia2@yahoo.co.uk,9220677771,12/04/2022,"$2,489.51",no,DACH
C0106X,YARA GARCIA,Yara.Garcia2@yahoo.co.uk,9220677771,12/04/2022,"$2,489.51",no,DACH
C0107,Rosa  Singh,Rosa.Singh68@yahoo.co.uk,9148920372,28-Sep-22,n/a,, NA-W
C0108,"Moreau, Hugo",Hugo.Moreau37@corp.example,3797068716,2022-10-28,14913.77,Y,uki
C0109,Rosa  Sorensen,Rosa.Sorensen87@proton.me,+1-406-609-5788,2024-12-29,18556 USD,TRUE, NA-W
C0110,Fatima Sorensen,Fatima.Sorensen61@Outlook.COM,7798370713,28-May-23,42472.36,yes,na-e
C0111,Camila Sandoval ,Camila.Sandoval12@gmail.com,6837785805,07/11/2025,"$9,003.85",, NA-W
C0111,Camila Sandoval ,Camila.Sandoval12@gmail.com,6837785805,07/11/2025,"$9,003.85",, NA-W
C0112,Malik Vogel ,Malik.Vogel52@gmail.com,+1-677-420-4981,26-Mar-25,n/a,No, NA-W
C0113,Yara  Nakamura,Yara.Nakamura2@gmail.com,(357) 843-6176,,"$2,349.53",Y,NA-E
C0114,  NADIA BENNETT ,Nadia.Bennett16@yahoo.co.uk,3459358967,02/17/2022,n/a,TRUE,APAC-N
C0115,"Carvalho, Rosa",Rosa.Carvalho84@yahoo.co.uk,(281) 429-9436,10-May-23,8203.30,Y,uki
C0116,Tariq Sorensen ,Tariq.Sorensen92@corp.example,7903297285,10/29/2022,37905.30,,na-e
C0117,"Laurent, Felix",Felix.Laurent70@corp.example,9411259015,08/11/2023,9973.43,,?
C0118,  ELENA DELGADO ,Elena.Delgado20@Outlook.COM,2485528384,,"$22,486.11",N, NA-W
C0119,"Bennett, Felix",Felix.Bennett80@yahoo.co.uk,+1-495-485-1092,,"$15,710.88",No,?
C0120,Ivan  Chen,Ivan.Chen90@corp.example,+1-590-251-3324,,35867.56,TRUE,na-e
C0121,Hana  Fontaine,Hana.Fontaine38@gmail.com,+1-748-643-3378,2023-12-24,19862 USD,Yes,DACH
C0122,Petra  Petrov,Petra.Petrov53@corp.example,7723485448,2025-01-14,16828.86,No,UKI
C0123,Viktor Tanaka ,Viktor.Tanaka13@Outlook.COM,(816) 936-8924,10/26/2022,7675 USD,TRUE,UKI
C0124,Nadia  Tanaka,Nadia.Tanaka89@Outlook.COM,890.852.4751,04-Jul-25,"$33,440.60",Y,uki
C0125,Zoe Eriksen,Zoe.Eriksen2@corp.example,(368) 832-8575,06/21/2025,39418 USD,yes,DACH
C0126,  JONAS JENSEN ,Jonas.Jensen45@yahoo.co.uk,,13-Mar-24,"$46,940.80",No,uki
C0127,Julia Abara ,Julia.Abara75@yahoo.co.uk,+1-550-664-9001,2025-06-25,"$39,012.25",no,NA-E
C0128,Lara Abara,Lara.Abara94@proton.me,,2025-07-23,"$49,856.39",Y,APAC-N
C0129,Nikolai Sorensen ,Nikolai.Sorensen34@gmail.com,+1-514-251-7152,,28323.53,No,na-e
C0130,  HANA BAKKER ,Hana.Bakker92@proton.me,,2024-09-11,"$15,015.38",no,uki
C0131,Elena  Ibrahim,Elena.Ibrahim18@proton.me,(311) 890-5174,07/13/2023,"$10,756.28",Y,APAC-N
C0132,Ada  Zimmerman,Ada.Zimmerman64@proton.me,+1-505-469-3409,09/09/2024,n/a,TRUE,uki
C0133,Paulo Alvarez,Paulo.Alvarez25@proton.me,6784825465,14-Mar-23,"$46,038.79",,APAC-N
C0134,Thea  Kowalski,Thea.Kowalski10@corp.example,(333) 438-1234,,1230 USD,N, NA-W
C0135,Omar Weber,Omar.Weber12@gmail.com,,26-Feb-22,n/a,N,?
C0136,  FATIMA MOREAU ,Fatima.Moreau81@gmail.com,(263) 643-2442,13-May-24,"$15,619.47",No,DACH
C0137,Ivan Kaur,Ivan.Kaur62@gmail.com,2679354839,2022-11-29,41407.76,yes,na-e
C0138,"Khan, Nikolai",Nikolai.Khan30@Outlook.COM,(626) 777-2511,17-Sep-24,n/a,N,uki
C0139,"Weber, Zara",Zara.Weber83@corp.example,2823372690,,n/a,N,na-e
C0140,  MALIK PETROV ,Malik.Petrov20@Outlook.COM,+1-802-507-7055,10-Jan-24,22292 USD,no,?
C0141,"Abara, Daniela",Daniela.Abara88@proton.me,,03/24/2025,"$35,022.91",Yes,APAC-N
C0142,"Novak, Lucia",Lucia.Novak1@gmail.com,649.321.6872,2023-08-22,n/a,Yes,APAC-N
C0143,Paulo Novak,Paulo.Novak96@gmail.com,+1-634-768-5639,09/29/2024,1374.21,no,na-e
C0144,Fatima Petrov,Fatima.Petrov54@corp.example,+1-216-786-9309,,35896.48,Yes,uki
C0145,  SAMIR MARCHETTI ,Samir.Marchetti51@corp.example,(505) 612-7892,18-Aug-23,n/a,N,DACH
C0146,Felix Fontaine ,Felix.Fontaine98@corp.example,(859) 699-4570,,14889 USD,N, NA-W
C0147,Fatima  Mbeki,Fatima.Mbeki17@yahoo.co.uk,,12/19/2024,"$15,009.93",no,NA-E
C0148,Bruno Vargas ,Bruno.Vargas61@yahoo.co.uk,,,38253 USD,no,NA-E
C0148,Bruno Vargas ,Bruno.Vargas61@yahoo.co.uk,,,38253 USD,no,NA-E
C0149,Daniela  Novak,Daniela.Novak48@corp.example,881.236.9158,07/03/2025,n/a,N, NA-W
C0150,Olga  Singh,Olga.Singh47@proton.me,,30-Sep-24,44004.85,no, NA-W
C0151,Omar Kowalski,Omar.Kowalski92@proton.me,9096187601,11-Dec-22,49486 USD,no, NA-W
C0152,Julia Okafor,Julia.Okafor89@proton.me,+1-662-594-6016,09/04/2023,"$37,707.73",Yes,uki
C0153,Kwame Hoffmann ,Kwame.Hoffmann25@yahoo.co.uk,4906889351,10-Apr-23,"$25,614.83",,?
C0154,  YARA SINGH ,Yara.Singh70@gmail.com,,24-May-23,"$26,936.21",,na-e
C0155,Ivan Zimmerman,Ivan.Zimmerman91@Outlook.COM,447.493.4001,01/11/2022,n/a,N, NA-W
C0156,  CHEN ALVAREZ ,Chen.Alvarez65@corp.example,(621) 755-9916,06/07/2025,13990 USD,yes,na-e
C0157,  ELENA CHEN ,Elena.Chen24@Outlook.COM,4603046239,,37170.72,yes,uki
C0158,"Moreau, Adaeze",Adaeze.Moreau71@gmail.com,7693006477,2025-02-07,48209.07,yes,uki
C0159,Yara Chen,Yara.Chen25@gmail.com,(376) 722-8321,19-May-22,"$18,957.68",Yes,uki
C0159X,YARA CHEN,Yara.Chen25@gmail.com,(376) 722-8321,19-May-22,"$18,957.68",Yes,uki
C0160,"Hoffmann, Elena",Elena.Hoffmann91@corp.example,+1-952-593-7226,,31759 USD,TRUE,?
C0161,Petra Okafor ,Petra.Okafor78@gmail.com,,16-Aug-23,n/a,Yes,na-e
C0162,Yusuf Novak ,Yusuf.Novak22@Outlook.COM,4056943495,,"$3,822.58",no,na-e
C0163,Daniela Vogel ,Daniela.Vogel43@corp.example,+1-610-295-6174,2023-03-19,n/a,,DACH
C0164,Ada Abara,Ada.Abara97@proton.me,651.491.8167,05/27/2025,26179.16,,APAC-N
C0165,  NIKOLAI YILMAZ ,Nikolai.Yilmaz49@proton.me,8665729533,01/18/2024,"$17,890.97",TRUE,na-e
C0166,"Zhang, Hugo",Hugo.Zhang25@yahoo.co.uk,(734) 623-4664,16-May-23,48946.86,Yes,NA-E
C0167,Rosa Zhang,Rosa.Zhang77@Outlook.COM,+1-924-687-3667,10-Dec-23,25713.95,No,UKI
C0168,"Jensen, Samir",Samir.Jensen87@Outlook.COM,381.249.5559,11/28/2024,37585.13,Yes,na-e
C0169,"Moreau, Camila",Camila.Moreau1@Outlook.COM,,2024-11-07,48608 USD,N,uki
C0170,Darius Ibrahim ,Darius.Ibrahim32@proton.me,232.795.3885,,"$22,488.55",FALSE,APAC-N
C0171,"Vogel, Bianca",Bianca.Vogel84@gmail.com,,2024-02-06,45168.67,yes,?
C0172,Chen  Wang,Chen.Wang31@yahoo.co.uk,+1-227-616-3225,12/30/2024,32396 USD,yes,NA-E
C0173,  TARIQ MOREAU ,Tariq.Moreau17@gmail.com,(299) 603-3877,04/29/2022,3101 USD,No, NA-W
C0174,Hana Bennett ,Hana.Bennett80@yahoo.co.uk,+1-495-566-9455,01/31/2022,36345.03,Yes,na-e
C0175,Ada Kowalski ,Ada.Kowalski73@proton.me,,2022-10-16,"$47,154.53",no, NA-W
C0176,Ravi Alvarez ,Ravi.Alvarez32@Outlook.COM,2205133473,2022-10-25,43294 USD,TRUE, NA-W
C0177,Nadia  Chen,Nadia.Chen28@proton.me,720.516.2159,,n/a,FALSE,APAC-N
C0178,Zara Vargas,Zara.Vargas59@corp.example,+1-240-638-6835,28-Feb-23,40075.53,yes,APAC-N
C0179,Bao  Fontaine,Bao.Fontaine64@corp.example,+1-843-868-5533,2022-12-21,"$31,895.64",yes, NA-W
C0180,Bruno Lindqvist,Bruno.Lindqvist33@proton.me,(852) 352-9298,15-Jun-24,19966.84,no,?
C0181,"Petrov, Zara",Zara.Petrov62@yahoo.co.uk,(717) 346-1979,,"$13,212.51",Yes, NA-W
C0182,Mei  Garcia,Mei.Garcia42@yahoo.co.uk,,,"$1,955.81",Yes,UKI
C0183,Darius Toure ,Darius.Toure38@corp.example,+1-745-226-4585,24-Feb-23,4889 USD,No,uki
C0184,"Andersen, Lucia",Lucia.Andersen93@corp.example,929.557.2960,01-Jan-24,22875 USD,yes,APAC-N
C0185,Bruno  Moreau,Bruno.Moreau40@gmail.com,+1-708-333-8252,2024-09-24,15704.01,,?
C0185,Bruno  Moreau,Bruno.Moreau40@gmail.com,+1-708-333-8252,2024-09-24,15704.01,,?
C0186,Samir Andersen,Samir.Andersen51@proton.me,2425437575,18-Sep-22,14986.73,FALSE,uki
C0187,Greta Bennett ,Greta.Bennett58@gmail.com,8101513494,2023-02-18,n/a,No,NA-E
C0188,  BIANCA DAHL ,Bianca.Dahl73@Outlook.COM,,02/07/2022,n/a,Yes,APAC-N
C0189,  MEI ERIKSEN ,Mei.Eriksen76@Outlook.COM,2211519903,03/13/2025,"$37,019.63",FALSE,DACH
C0190,  DARIUS LINDQVIST ,Darius.Lindqvist60@Outlook.COM,427.393.3493,,"$21,791.33",yes,uki
C0191,Aria  Weber,Aria.Weber90@Outlook.COM,724.583.9730,11-Oct-23,n/a,N, NA-W
C0192,"Andersen, Liam",Liam.Andersen40@Outlook.COM,,28-Apr-24,46292 USD,Y,NA-E
C0193,  JULIA MARCHETTI ,Julia.Marchetti75@proton.me,+1-383-514-4800,2024-04-09,2847.31,,uki
C0194,Camila  Eriksen,Camila.Eriksen17@gmail.com,2060814801,04/17/2023,"$5,506.46",N,DACH
C0195,Samir  Dahl,Samir.Dahl90@corp.example,,2022-12-21,n/a,TRUE,?
C0196,  JONAS ZHANG ,Jonas.Zhang31@proton.me,(534) 645-9491,02/14/2023,"$22,172.16",TRUE, NA-W
C0197,Petra Andersen ,Petra.Andersen40@proton.me,,,38425 USD,Y,APAC-N
C0198,  TOMAS HADDAD ,Tomas.Haddad32@proton.me,+1-207-530-8155,,n/a,N,na-e
C0199,"Andersen, Ravi",Ravi.Andersen57@gmail.com,467.727.8850,2025-06-12,"$9,119.60",No, NA-W
C0200,Caleb Singh,Caleb.Singh71@yahoo.co.uk,(902) 235-2236,28-Aug-22,"$4,383.59",No,?
C0201,Fatima  Marchetti,Fatima.Marchetti75@corp.example,5652479347,30-Jan-25,45412.65,N, NA-W
C0202,Malik  Toure,Malik.Toure16@Outlook.COM,,,n/a,TRUE,UKI
C0203,  ZOE ANDERSEN ,Zoe.Andersen48@yahoo.co.uk,640.487.2930,01-Jun-24,37186.96,yes,NA-E
C0204,  RANIA DELGADO ,Rania.Delgado14@gmail.com,(576) 868-8094,,"$39,843.42",yes, NA-W
C0205,"Alvarez, Ada",Ada.Alvarez21@yahoo.co.uk,371.823.8220,2022-10-08,"$29,377.78",Y,?
C0206,Rania Petrov ,Rania.Petrov44@proton.me,2336716551,17-Jun-24,17153 USD,Yes,na-e
C0207,Yusuf Iversen,Yusuf.Iversen82@gmail.com,9439780333,07/23/2022,"$6,546.88",,UKI
C0208,"Khan, Petra",Petra.Khan16@corp.example,+1-758-486-1601,2024-09-28,46294.03,FALSE,NA-E
C0209,"Garcia, Jonas",Jonas.Garcia57@Outlook.COM,505.460.1902,09/23/2022,"$26,013.48",Y,na-e
C0210,Yara  Laurent,Yara.Laurent87@proton.me,+1-440-722-3210,22-Jan-24,2217 USD,FALSE,na-e
C0211,Felix Fontaine,Felix.Fontaine46@yahoo.co.uk,(973) 563-7940,04/11/2022,47471 USD,TRUE, NA-W
C0212,"Alvarez, Amara",Amara.Alvarez69@yahoo.co.uk,,06/26/2022,"$47,348.27",N,APAC-N
C0212X,"ALVAREZ, AMARA",Amara.Alvarez69@yahoo.co.uk,,06/26/2022,"$47,348.27",N,APAC-N
C0213,Felix  Rossi,Felix.Rossi77@corp.example,+1-874-401-3614,,"$10,078.51",N,?
C0214,"Zimmerman, Chen",Chen.Zimmerman10@Outlook.COM,+1-708-599-5319,2025-04-06,22117 USD,Y,DACH
C0215,"Haddad, Fatima",Fatima.Haddad63@gmail.com,,2024-07-23,29438 USD,N,?
C0216,Paulo Bakker ,Paulo.Bakker60@yahoo.co.uk,7925909798,02/10/2025,44092 USD,Y,UKI
C0217,Hugo  Alvarez,Hugo.Alvarez74@Outlook.COM,+1-585-847-6222,10/21/2022,n/a,Yes,DACH
C0218,  ADA OKAFOR ,Ada.Okafor67@yahoo.co.uk,(896) 422-5822,02/07/2025,42664.04,No,na-e
C0219,  OLGA CHEN ,Olga.Chen62@Outlook.COM,923.796.1287,08/28/2024,"$32,590.81",No,?
C0220,  PETRA WEBER ,Petra.Weber59@Outlook.COM,(505) 546-3483,,36256.00,,na-e
C0221,Omar Vargas ,Omar.Vargas5@corp.example,+1-538-237-9687,2023-09-02,23319.96,yes,DACH
C0222,Sana Haddad ,Sana.Haddad86@proton.me,,,n/a,FALSE,UKI
C0222,Sana Haddad ,Sana.Haddad86@proton.me,,,n/a,FALSE,UKI
C0223,"Carvalho, Caleb",Caleb.Carvalho71@proton.me,(223) 464-2941,11/28/2024,"$35,079.44",Yes,DACH
C0224,Nadia Eriksen ,Nadia.Eriksen63@proton.me,+1-825-758-1512,2025-01-01,13765.40,N,?
C0225,  ADA OYELARAN ,Ada.Oyelaran83@gmail.com,4919640894,2024-03-30,35495 USD,,UKI
C0226,Emeka Fontaine,Emeka.Fontaine70@yahoo.co.uk,508.234.9466,06/13/2022,6463.49,FALSE,DACH
C0227,Nikolai Vargas ,Nikolai.Vargas7@gmail.com,814.837.7938,,30254 USD,,?
C0228,Mei  Vargas,Mei.Vargas41@Outlook.COM,,11-Jan-25,35803.00,No, NA-W
C0229,Zoe  Carvalho,Zoe.Carvalho13@gmail.com,+1-380-692-7263,02/11/2023,47017.77,TRUE,DACH
C0230,Ivan Andersen,Ivan.Andersen58@Outlook.COM,+1-784-420-6878,,7786 USD,FALSE,UKI
C0231,"Khan, Felix",Felix.Khan97@corp.example,9484921290,04/24/2025,16238.16,Y,APAC-N
C0232,"Delgado, Bianca",Bianca.Delgado26@yahoo.co.uk,774.256.5853,02-Jul-25,19252 USD,Y,?
C0233,Hana Eriksen,Hana.Eriksen58@yahoo.co.uk,4639946097,,26260.24,no,APAC-N
C0234,Darius Rossi,Darius.Rossi83@Outlook.COM,+1-970-645-5613,07/05/2023,39314 USD,no,UKI
